"ID","CL","Evaluation","block","trial_block","Errors","RT_Raw","cER","oER","Errors_cw","cER_cw","oER_cw","RT_cw","CL_evaluation","Mental","Temporal","Performance","Effort","Frustration","Eustress","Distress","NASA_TLX","Eustress_cw","Distress_cw","NASA_TLX_cw","Mental_cw","Temporal_cw","Performance_cw","Effort_cw","Frustration_cw","ratio"
7410,"high","0","1",0,4,0.7072,4,0,2.5,2.54166666666667,-0.0416666666666667,-0.0708657407407407,"high_0",4,2,4,4,2,3.2,1.6,3.2,-0.05,0.35,0.2,0.75,-0.25,0,0.5,0,2
17709,"high","0","1",0,2,0.5974,2,0,0.5,0.5,0,0.083925,"high_0",6,5,4,6,4,3.4,2,5,-0.1,0,0.35,0,0.5,-0.75,0.5,0,1.7
17824,"high","0","1",0,2,0.5629,2,0,0.833333333333333,0.875,-0.0416666666666667,-0.0432458333333334,"high_0",5,5,5,5,5,3.2,2.2,4.6,-0.45,-0.1,-0.3,0,0.25,1,-1,0.25,1.45454545454545
40122,"high","0","1",0,2,0.8227,2,0,0.0416666666666667,0.25,-0.208333333333333,0.166664583333333,"high_0",5,3,2,5,5,2.4,2,4.8,-0.5,-0.65,0.3,0.75,-0.5,-1,0.5,-0.25,1.2
40710,"high","0","1",0,0,0.6312,0,0,-0.625,-0.625,0,0.0261833333333333,"high_0",5,5,4,5,5,3.4,2.4,4.8,-0.45,0.1,0.85,0.5,0,-1.5,1.25,1,1.41666666666667
47751,"high","0","1",0,5,0.52725,3,2,2.41666666666667,1.45833333333333,0.958333333333333,-0.0187098875661376,"high_0",6,6,3,6,1,3.4,1.2,4.8,0.05,-0.1,-0.05,0.25,0.25,-0.5,0.25,-1.5,2.83333333333333
82208,"high","0","1",0,1,0.8201,1,0,-0.291666666666667,-0.208333333333333,-0.0833333333333333,-0.0271439814814816,"high_0",6,5,2,4,6,2,2.2,5.4,-1.15,-0.2,0.2,0.25,0,-1.75,-1.25,0.25,0.909090909090909
94065,"high","0","1",0,0,0.8419,0,0,-0.541666666666667,-0.541666666666667,0,-0.00847083333333332,"high_0",5,3,5,5,3,2.4,2.6,3.8,0.1,-0.15,0.1,1,-0.5,0.25,1,-0.75,0.923076923076923
95172,"high","0","1",0,2,0.716,2,0,0.583333333333333,0.583333333333333,0,0.0775833333333333,"high_0",4,5,4,6,5,3,2.4,4.8,-0.5,0.65,1.1,0.5,1.5,-0.75,1.5,1.25,1.25
121650,"high","0","1",0,1,0.7178,1,0,-0.958333333333333,-0.833333333333333,-0.125,0.0695708333333334,"high_0",6,5,4,5,4,3.4,1.8,4.8,0.45,-0.2,0.1,1,-0.25,0.25,0.25,-0.25,1.88888888888889
153432,"high","0","1",0,0,0.4232,0,0,-0.833333333333333,-0.833333333333333,0,-0.0434666666666667,"high_0",6,4,6,5,4,4,3,4.2,-0.2,0.4,0.15,0.5,0.75,0.25,0,-0.25,1.33333333333333
179038,"high","0","1",0,2,0.9314,2,0,1,1,0,0.0369958333333333,"high_0",6,6,4,6,5,2.2,2.2,5.4,-0.7,-0.25,0.2,0,0,-1.5,0,-0.5,1
234510,"high","0","1",0,1,0.9056,1,0,0.208333333333333,0.208333333333333,0,0.112870833333333,"high_0",6,5,6,7,3,4,1.4,4.6,0.1,-0.5,0.65,1.5,0.25,0.25,1.75,0,2.85714285714286
236546,"high","0","1",0,0,0.4748,0,0,-0.5,-0.458333333333333,-0.0416666666666667,-0.0762361111111111,"high_0",5,6,5,6,2,3.4,2,4.4,-0.35,0.2,0.05,-0.5,1.5,-0.5,0.25,-1.5,1.7
